,Ssu,Zndf,Znsc,Zpro,Sh2,Sch4,Sac,Sbu,SIC,Snh3,Spr,Saa
startValue,0.12,2.5,3.5,1.29,0.000004,0.01123,1.58,0.44931,6.18,0.1277,0.55,0
inflowRate,0,1,1,1,0,0,0,0,0,0,0,0
washOut,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
molarMass,180.16,NA,NA,NA,2,16.04,60.05,88.1,44.01,17.03,74.08,134
